PV1,-134.1999758,-44320.44909,-6.842939471,-2115.517506,-6.527498051,-2056.883462,-4.283834848,-1727.336601,-3.552098685,-1544.29375,-6.137830086,-1986.624988,-1.732176504,-1051.392519,-6.60134776,-2072.982715,-6.966016056,-2131.841843,-5.476052524,-1863.727366,10.74020161
BESS2,-0.5376941767,-277.8923422,-46.51212046,-13032.14233,-1.339121175,-422.5745012,-1.132771441,-402.6795806,-0.7705302487,-326.3587179,-1.272881274,-410.6674323,-0.3453118644,-213.039292,-1.390685377,-432.0916761,-1.442487728,-440.4679462,-1.141693236,-386.21964,2.216896022
BESS3,-0.6787946053,-286.9188334,-1.247613506,-382.8062761,-57.42067961,-16400.66976,-0.8495209706,-325.7346886,-0.6294932905,-275.4429754,-1.104033371,-357.5698799,-0.3099607374,-188.5327082,-1.228803823,-379.7215682,-1.250270059,-383.3320523,-0.9794095875,-334.3104049,1.934410155
PV4,-2.291382301,-943.3845164,-4.042455291,-1230.825656,-3.574311393,-1153.050857,-80.20874386,-24335.17073,-2.062987867,-891.8832621,-3.520629959,-1140.392068,-1.001421901,-605.1628789,-3.883168079,-1205.192515,-4.001486233,-1224.685234,-3.156222326,-1072.021398,6.163124605
PV5,-1.019523955,-445.6511796,-1.806549219,-581.3595685,-1.891592402,-595.021383,-1.212524439,-493.4819981,-154.2590292,-52481.41969,-1.74023895,-567.9618034,-0.4872409237,-299.2409037,-1.941213907,-603.7532675,-1.833335825,-585.6709652,-1.44489922,-512.7607179,3.093163303
BESS6,-0.06794168347,-47.30593131,-0.1686836371,-68.48390611,-0.2640209642,-84.16760784,-0.1241977374,-61.50663144,-0.1569566194,-66.24751234,-69.71192861,-20335.67431,-0.06255228386,-40.84708124,-0.2753948331,-86.17620919,-0.1452276077,-64.41970729,-0.2198570798,-75.97069859,0.4501718371
PV7,-2.725272822,-1237.20766,-4.90677181,-1623.692638,-5.232241931,-1674.983683,-3.851191527,-1486.375779,-3.034072642,-1301.129605,-4.787959791,-1595.731781,-341.3712863,-148037.3879,-5.425461326,-1709.173334,-4.65203694,-1580.433308,-4.350918151,-1511.78873,8.893478053
BESS8,-0.2966226053,-135.0812247,-0.4868257011,-169.5699231,-0.5949419595,-187.1048924,-0.4256169768,-163.5777313,-0.342411324,-144.4682558,-0.550693873,-179.1965074,-0.1526651112,-93.97151008,-51.40293103,-14530.31145,-0.5922521718,-186.9713842,-0.4931414141,-168.4216962,0.9767655041
BESS9,-0.2880604333,-137.8734233,-0.4697010683,-172.4628173,-0.6318358956,-199.0212908,-0.4258762318,-169.0782454,-0.3655922263,-154.1689103,-0.5900734177,-191.809351,-0.1618924451,-100.0581383,-0.6166516963,-196.7918706,-49.57400911,-13967.96898,-0.5243608654,-179.2934126,1.042807838
BESS10,-0.2104404872,-104.5396281,-0.3390198214,-129.9338613,-0.4875465924,-154.4279687,-0.3158955473,-128.824324,-0.2837638251,-120.040044,-0.4526175882,-148.1483908,-0.1237180259,-77.22445202,-0.4700588375,-151.6416054,-0.4716516037,-151.9438759,-88.38862499,-26596.96528,0.8135839949
